[08-01 15:51:24] === OCR 批次启动 ===
[08-01 15:51:25] === DRG支付2025 (0/154 done, 154 remaining) ===
[08-01 15:51:25]   [1/154] p0000...
[08-02 19:00:27]   [116/176] p0115 OK (658 chars)
[08-02 19:02:20]   [117/176] p0116 OK (291 chars)
[08-02 19:03:27]   [118/176] p0117 OK (671 chars)
[08-02 19:04:38]   [119/176] p0118 OK (918 chars)
[08-02 19:06:19]   [120/176] p0119 OK (768 chars)
[08-02 19:07:02]   [121/176] p0120 OK (284 chars)
[08-02 19:07:45]   [122/176] p0121 OK (438 chars)
[08-02 19:09:28]   [123/176] p0122 OK (914 chars)
[08-02 19:11:36]   [124/176] p0123 OK (727 chars)
[08-02 19:12:08]   [125/176] p0124 OK (292 chars)
[08-02 19:12:48]   [126/176] p0125 OK (477 chars)
[08-02 19:13:38]   [127/176] p0126 OK (1027 chars)
[08-02 19:14:45]   [128/176] p0127 OK (693 chars)
[08-02 19:15:25]   [129/176] p0128 OK (280 chars)
[08-02 19:16:30]   [130/176] p0129 OK (420 chars)
[08-02 19:17:26]   [131/176] p0130 OK (894 chars)
[08-02 19:18:59]   [132/176] p0131 OK (698 chars)
[08-02 19:19:40]   [133/176] p0132 OK (292 chars)
[08-02 19:20:33]   [134/176] p0133 OK (359 chars)
[08-02 19:21:38]   [135/176] p0134 OK (887 chars)
[08-02 19:23:09]   [136/176] p0135 OK (706 chars)
[08-02 19:24:27]   [137/176] p0136 OK (308 chars)
[08-02 19:25:29]   [138/176] p0137 OK (568 chars)
[08-02 19:27:08]   [139/176] p0138 OK (883 chars)
[08-02 19:28:58]   [140/176] p0139 OK (664 chars)
[08-02 19:29:44]   [141/176] p0140 OK (289 chars)
[08-02 19:30:19]   [142/176] p0141 OK (444 chars)
[08-02 19:32:03]   [143/176] p0142 OK (926 chars)
[08-02 19:35:03]   [144/176] p0143 OK (588 chars)
[08-02 19:36:15]   [145/176] p0144 OK (295 chars)
[08-02 19:38:25]   [146/176] p0145 OK (507 chars)
[08-02 19:40:09]   [147/176] p0146 OK (872 chars)
[08-02 19:41:14]   [148/176] p0147 OK (692 chars)
[08-02 19:42:25]   [149/176] p0148 OK (440 chars)
[08-02 19:42:59]   [150/176] p0149 OK (869 chars)
[08-02 19:44:54]   [151/176] p0150 OK (740 chars)
[08-02 19:45:15]   [152/176] p0151 OK (290 chars)
[08-02 19:46:06]   [153/176] p0152 OK (403 chars)
[08-02 19:47:27]   [154/176] p0153 OK (918 chars)
[08-02 19:48:31]   [155/176] p0154 OK (658 chars)
[08-02 19:49:05]   [156/176] p0155 OK (293 chars)
[08-02 19:49:53]   [157/176] p0156 OK (494 chars)
[08-02 19:51:30]   [158/176] p0157 OK (913 chars)
[08-02 19:52:24]   [159/176] p0158 OK (702 chars)
[08-02 19:53:00]   [160/176] p0159 OK (295 chars)
[08-02 19:53:57]   [161/176] p0160 OK (384 chars)
[08-02 19:55:24]   [162/176] p0161 OK (919 chars)
[08-02 19:57:06]   [163/176] p0162 OK (652 chars)
[08-02 20:00:01]   [164/176] p0163 OK (289 chars)
[08-02 20:01:45]   [165/176] p0164 OK (628 chars)
[08-02 20:03:07]   [166/176] p0165 OK (928 chars)
[08-02 20:04:28]   [167/176] p0166 OK (617 chars)
[08-02 20:05:01]   [168/176] p0167 OK (285 chars)
[08-02 20:05:46]   [169/176] p0168 OK (485 chars)
[08-02 20:06:24]   [170/176] p0169 OK (282 chars)
[08-02 20:07:38]   [171/176] p0170 OK (911 chars)
[08-02 20:09:15]   [172/176] p0171 OK (652 chars)
[08-02 20:10:00]   [173/176] p0172 OK (487 chars)
[08-02 20:11:20]   [174/176] p0173 OK (937 chars)
[08-02 20:12:42]   [175/176] p0174 OK (646 chars)
[08-02 20:13:49]   [176/176] p0175 OK (312 chars)
[08-02 20:13:49] DONE DRG支付2024: 176/176
[08-02 20:13:49] === 稽查文件 (0/135 done, 135 left, ~90min) ===
[08-02 20:14:35]   [1/135] p0000 OK (479 chars)
[08-02 20:14:59]   [2/135] p0001 OK (349 chars)
[08-02 20:17:29]   [3/135] p0002 OK (404 chars)
[08-02 20:18:56]   [4/135] p0003 OK (349 chars)
[08-02 20:19:25]   [5/135] p0004 OK (359 chars)
[08-02 20:20:21]   [6/135] p0005 OK (558 chars)
[08-02 20:20:42]   [7/135] p0006 OK (112 chars)
[08-02 20:21:36]   [8/135] p0007 OK (415 chars)
[08-02 20:22:20]   [9/135] p0008 OK (457 chars)
[08-02 20:23:10]   [10/135] p0009 OK (94 chars)
[08-02 20:24:09]   [11/135] p0010 OK (322 chars)
[08-02 20:24:57]   [12/135] p0011 OK (305 chars)
[08-02 20:25:23]   [13/135] p0012 OK (447 chars)
[08-02 20:27:48]   [14/135] p0013 OK (420 chars)
[08-02 20:29:08]   [15/135] p0014 OK (588 chars)
[08-02 20:29:35]   [16/135] p0015 OK (281 chars)
[08-02 20:30:48]   [17/135] p0016 OK (408 chars)
[08-02 20:31:42]   [18/135] p0017 OK (381 chars)
[08-02 20:32:51]   [19/135] p0018 OK (254 chars)
[08-02 20:33:40]   [20/135] p0019 OK (958 chars)
[08-02 20:34:23]   [21/135] p0020 OK (452 chars)
[08-02 20:35:10]   [22/135] p0021 OK (1187 chars)
[08-02 20:35:56]   [23/135] p0022 OK (484 chars)
[08-02 20:36:53]   [24/135] p0023 OK (103 chars)
[08-02 20:38:02]   [25/135] p0024 OK (528 chars)
[08-02 20:39:34]   [26/135] p0025 OK (311 chars)
[08-02 20:40:34]   [27/135] p0026 OK (1252 chars)
[08-02 20:42:35]   [28/135] p0027 OK (2485 chars)
[08-02 20:45:39]   p0028 ERR(attempt 1/3): Request timed out.
[08-02 20:48:41]   [29/135] p0028 OK (4280 chars)
[08-02 20:51:45]   p0029 ERR(attempt 1/3): Request timed out.
[08-02 20:54:09]   [30/135] p0029 OK (0 chars)
[08-02 20:57:11]   p0030 ERR(attempt 1/3): Request timed out.
[08-02 21:00:15]   [31/135] p0030 OK (5254 chars)
[08-02 21:02:12]   [32/135] p0031 OK (4747 chars)
[08-02 21:04:00]   [33/135] p0032 OK (4431 chars)
[08-02 21:05:20]   [34/135] p0033 OK (837 chars)
[08-02 21:06:36]   [35/135] p0034 OK (991 chars)
[08-02 21:07:53]   [36/135] p0035 OK (1001 chars)
[08-02 21:09:26]   [37/135] p0036 OK (834 chars)
[08-02 21:10:21]   [38/135] p0037 OK (2360 chars)
[08-02 21:12:00]   [39/135] p0038 OK (843 chars)
[08-02 21:13:42]   [40/135] p0039 OK (1315 chars)
[08-02 21:15:26]   [41/135] p0040 OK (439 chars)
[08-02 21:16:42]   [42/135] p0041 OK (1320 chars)
[08-02 21:19:40]   [43/135] p0042 OK (913 chars)
[08-02 21:20:12]   [44/135] p0043 OK (356 chars)
[08-02 21:20:44]   [45/135] p0044 OK (555 chars)
[08-02 21:21:01]   [46/135] p0045 OK (138 chars)
[08-02 21:21:29]   [47/135] p0046 OK (416 chars)
[08-02 21:22:06]   [48/135] p0047 OK (486 chars)
[08-02 21:22:32]   [49/135] p0048 OK (80 chars)
[08-02 21:23:25]   [50/135] p0049 OK (368 chars)
[08-02 21:24:22]   [51/135] p0050 OK (332 chars)
[08-02 21:24:58]   [52/135] p0051 OK (381 chars)
[08-02 21:25:31]   [53/135] p0052 OK (308 chars)
[08-02 21:26:06]   [54/135] p0053 OK (339 chars)
[08-02 21:26:34]   [55/135] p0054 OK (247 chars)
[08-02 21:27:02]   [56/135] p0055 OK (383 chars)
[08-02 21:27:30]   [57/135] p0056 OK (239 chars)
[08-02 21:28:13]   [58/135] p0057 OK (265 chars)
[08-02 21:28:50]   [59/135] p0058 OK (225 chars)
[08-02 21:29:30]   [60/135] p0059 OK (300 chars)
[08-02 21:30:10]   [61/135] p0060 OK (424 chars)
[08-02 21:32:24]   [62/135] p0061 OK (355 chars)
[08-02 21:33:33]   [63/135] p0062 OK (595 chars)
[08-02 21:34:08]   [64/135] p0063 OK (277 chars)
[08-02 21:36:19]   [65/135] p0064 OK (1455 chars)
[08-02 21:36:46]   [66/135] p0065 OK (502 chars)
[08-02 21:37:33]   [67/135] p0066 OK (103 chars)
[08-02 21:38:32]   [68/135] p0067 OK (291 chars)
[08-02 21:39:50]   [69/135] p0068 OK (471 chars)
[08-02 21:40:36]   [70/135] p0069 OK (468 chars)
[08-02 21:41:25]   [71/135] p0070 OK (328 chars)
[08-02 21:43:08]   [72/135] p0071 OK (1348 chars)
[08-02 21:45:54]   [73/135] p0072 OK (893 chars)
[08-02 21:48:57]   p0073 ERR(attempt 1/3): Request timed out.
[08-02 21:52:19]   p0073 ERR(attempt 2/3): Request timed out.
[08-02 21:56:00]   p0073 ERR(attempt 3/3): Request timed out.
[08-02 21:57:00]   p0073 SKIP (3 fails)
[08-02 21:59:15]   [74/135] p0074 OK (603 chars)
[08-02 22:00:59]   [75/135] p0075 OK (1207 chars)
[08-02 22:02:23]   [76/135] p0076 OK (1087 chars)
[08-02 22:04:19]   [77/135] p0077 OK (978 chars)
[08-02 22:05:30]   [78/135] p0078 OK (599 chars)
[08-02 22:07:24]   [79/135] p0079 OK (671 chars)
[08-02 22:09:17]   [80/135] p0080 OK (1059 chars)
[08-02 22:10:25]   [81/135] p0081 OK (867 chars)
[08-02 22:11:46]   [82/135] p0082 OK (1092 chars)
[08-02 22:12:39]   [83/135] p0083 OK (1040 chars)
[08-02 22:14:23]   [84/135] p0084 OK (1118 chars)
[08-02 22:16:52]   [85/135] p0085 OK (974 chars)
[08-02 22:18:03]   [86/135] p0086 OK (782 chars)
[08-02 22:19:50]   [87/135] p0087 OK (1136 chars)
[08-02 22:21:15]   [88/135] p0088 OK (733 chars)
[08-02 22:23:02]   [89/135] p0089 OK (739 chars)
[08-02 22:23:37]   [90/135] p0090 OK (271 chars)
[08-02 22:24:37]   [91/135] p0091 OK (576 chars)
[08-02 22:26:28]   [92/135] p0092 OK (427 chars)
[08-02 22:27:43]   [93/135] p0093 OK (922 chars)
[08-02 22:28:26]   [94/135] p0094 OK (455 chars)
[08-02 22:28:57]   [95/135] p0095 OK (240 chars)
[08-02 22:29:25]   [96/135] p0096 OK (388 chars)
[08-02 22:29:47]   [97/135] p0097 OK (158 chars)
[08-02 22:31:59]   [98/135] p0098 OK (352 chars)
[08-02 22:34:12]   [99/135] p0099 OK (2184 chars)
[08-02 22:37:02]   [100/135] p0100 OK (2233 chars)
[08-02 22:40:04]   p0101 ERR(attempt 1/3): Request timed out.
[08-02 22:43:26]   p0101 ERR(attempt 2/3): Request timed out.
[08-02 22:47:07]   p0101 ERR(attempt 3/3): Request timed out.
[08-02 22:48:07]   p0101 SKIP (3 fails)
[08-02 22:50:54]   [101/135] p0102 OK (2094 chars)
[08-02 22:53:19]   [102/135] p0103 OK (2179 chars)
[08-02 22:55:43]   [103/135] p0104 OK (2169 chars)
[08-02 22:58:46]   p0105 ERR(attempt 1/3): Request timed out.
[08-02 23:01:13]   [104/135] p0105 OK (2148 chars)
[08-02 23:03:36]   [105/135] p0106 OK (2082 chars)
[08-02 23:06:31]   [106/135] p0107 OK (2224 chars)
[08-02 23:09:32]   p0108 ERR(attempt 1/3): Request timed out.
[08-02 23:12:54]   p0108 ERR(attempt 2/3): Request timed out.
[08-02 23:15:31]   [107/135] p0108 OK (2117 chars)
[08-02 23:18:22]   [108/135] p0109 OK (2207 chars)
[08-02 23:21:10]   [109/135] p0110 OK (2195 chars)
[08-02 23:25:58] === OCR 批次启动（小文件优先） ===
[08-02 23:25:58] 预估总耗时: 19.8 小时
[08-02 23:25:59] DONE 稽查8: 118/118
[08-02 23:25:59] DONE 集中采购协议: 176/176
[08-02 23:25:59] DONE DRG支付2024: 176/176
[08-02 23:25:59] === 稽查文件 (109/135 done, 26 left, ~17min) ===
[08-02 23:26:53] === 扫描源PDF ===
[08-02 23:26:54] 共 157 个PDF
[08-02 23:26:54] 待处理: 150 本
[08-02 23:26:54] 总大小: 2021MB，预估 ~13 小时
[08-02 23:26:54] === 刷经寺调量申请  (0/1, 1 left, ~0min, 0.2MB) ===
[08-02 23:26:54]   p0000 RENDER_ERR: code=2: cannot open file 'C:\Users\scrccpa\.openclaw\workspace\temp_ocr\output_new\刷经寺调量申请 \p0000.png': No such file or directory
[08-02 23:26:59] DONE 刷经寺调量申请 : 0/1
[08-02 23:26:59] === 阿坝州医疗保障局关于转发《四川省药械招标采购服务中心关于填报第十批国家组织药品集中采购品种需求量的通知》的通知 (0/2, 2 left, ~1min, 0.2MB) ===
[08-02 23:28:56] === OCR 批次启动（小文件优先） ===
[08-02 23:28:56] 预估总耗时: 19.8 小时
[08-02 23:28:56] DONE 稽查8: 118/118
[08-02 23:28:56] DONE 集中采购协议: 176/176
[08-02 23:28:56] DONE DRG支付2024: 176/176
[08-02 23:28:56] === 稽查文件 (109/135 done, 26 left, ~17min) ===
[08-02 23:30:17] === 扫描源PDF ===
[08-02 23:30:17] 共 157 个PDF
[08-02 23:30:17] 待处理: 150 本
[08-02 23:30:17] 总大小: 2021MB，预估 ~13 小时
[08-02 23:30:17] === 刷经寺调量申请 (0/1, 1 left, ~0min, 0.2MB) ===
[08-02 23:30:44] DONE 刷经寺调量申请: 1/1
[08-02 23:30:44] === 阿坝州医疗保障局关于转发《四川省药械招标采购服务中心关于填报第十批国家组织药品集中采购品种需求量的通知》的通知 (1/2, 1 left, ~0min, 0.2MB) ===
[08-02 23:31:06] DONE 阿坝州医疗保障局关于转发《四川省药械招标采购服务中心关于填报第十批国家组织药品集中采购品种需求量的通知》的通知: 2/2
[08-02 23:31:06] === 茂县人民医院 (0/1, 1 left, ~0min, 0.3MB) ===
[08-02 23:31:47] DONE 茂县人民医院: 1/1
[08-02 23:31:47] === 附件：第二批全国中药饮片采购联盟集中采购品种清单 (0/10, 10 left, ~5min, 0.3MB) ===
[08-03 00:39:12] === 扫描源PDF ===
[08-03 00:39:12] 共 157 个PDF
[08-03 00:39:12] 待处理: 146 本
[08-03 00:39:12] 总大小: 2020MB，预估 ~13 小时
[08-03 00:39:13] === 一三批(第一次续约)调量明细表 (0/1, 1 left, ~0min, 0.3MB) ===
