填表说明：根据指南编码规则编号,nan,nan,以项目批复中对应内容为准,nan,nan,以项目批复中项目实施地点为准，例：XX乡（镇）XX 村（居）,以项目竣工决算中项目主要建设内容为准,"与表2数据一致
（保留小数点后面2位）",nan,nan,"与表2数据一致
（保留小数点后面2位）",nan,nan,在“经营类、公益类、到户类“中选择,在“青稞、小麦、饲料、牦牛、乳、羊、猪、鸡、蜂、鱼虾、藏药、,在“巩固、升级、盘活、调整”中选择,在“巩固、升级、盘活、调整”中选择，仅经营类项目填写,根据实际情况填写“是/否”,在“自主运营、合作运营、委托运营“中选择,在“农村集体经济组织、农牧民专业合作社、农户、国企、私企、个,nan,根据实际情况填写“是/否”,例：2022.09,例：该项目带动建档立卡群众不低于23户79人增收，分红金额不,nan,nan,以项目实施内容对应行业单位为准,nan,在“是/否”中选择,财评、合同、立项等,在“是/否”中选择,nan,在“是/否”中选择
540425201820017,林芝市,察隅县,2018,察隅县察瓦龙乡昌西村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡昌西村,营造林：种苗14022株，种植311.6亩，培训指导2年，有机肥140.22吨，病虫害防治311.6亩，工具费311.6亩（每亩配2把修枝剪、1个喷雾器）,238.36,238.36,0,238.36,238.36,0,经营类,石榴,调整,盘活,是,,,,,,,,,,,否,确权资料，审定金额待定,否,是,是
540425201918003,林芝市,察隅县,2019,察隅县竹瓦根镇沙通坝建材市场建设项目,察隅县扶贫开发投资有限公司,竹瓦根镇,1#楼：建筑装饰工程828.99m2，安装工程828.99m2；2#楼：建筑装饰工程671.58m2，安装工程671.58m2；3#楼：建筑装饰工程1446.48m2，安装工程1446.48m2；4#楼：建筑装饰工程671.58m2，安装工程671.58m2；5#楼：建筑装饰工程576.45m2，安装工程576.45m2；6#楼：建筑装饰工程1177.38m2，安装工程1177.38m2；主大门1座，附属工程：室外电气1项，车行硬化工程2689.82m2，人行硬化工程375.9m2，次大门1座，挡土墙工程300.74m，绿化工程1159.45m2，土石方工程1项，通透式围墙456.69m，室外给排水1项,2476,2476,0,2304.742556,2304.742556,0,经营类,商贸流通,巩固,巩固,是,自主运营,国企,察隅县扶贫开发投资有限公司,否,,,,,察隅县住房和城乡建设局,,是,确权资料+超过1千万的财评台账（21年）,否,无需写,
540425201920018,林芝市,察隅县,2019,察隅县古拉乡石榴种植项目,古拉乡人民政府,古拉乡,石榴种植30亩，购置苗木2000株，有机肥、农家肥、新建围栏1000m、病虫害防治30亩、人工修枝及管护30亩，60mmPE管400m，25mmPE管1600m，新建蓄水池1座（2m*2m*2m），土地平整30亩,50,50,0,50,50,0,经营类,石榴,调整,调整,否,自主运营,农村集体经济组织,林芝市察隅县古拉乡则巴村股份经济合作社,否,,,62000,,察隅县农业农村局,,是,确权资料,是,无需写,
540425201908006,林芝市,察隅县,2019,竹瓦根镇空档村“4+1”藏鸡养殖项目,竹瓦根镇人民政府,竹瓦根镇空档村,1、新建鸡舍255.60㎡；2、新建门卫室及消毒室57.76㎡；3、新增给水管道120m；4、新增排水管道100m（双壁波纹管Φ200）；5、新增供电线路100m；6、新增铁艺大门1座（宽4米，高3.6米）；7、新建消毒池1座；8、新建防护网600m；9、购买喂食槽4个；10、购买藏鸡苗400只；11、购买成年藏鸡100只,62.11,60,2.11,62.11,60,2.11,经营类,鸡,盘活,调整,是,委托运营,农户,布索朗,否,,,60000,2,察隅县农业农村局​,,是,确权资料+50-1000万财评统计表,否,无需写,是
540425201907012,林芝市,察隅县,2019,下察隅镇沙琼村藏香猪养殖项目,下察隅镇人民政府,下察隅镇沙琼村,新建猪舍200㎡、饲料库60㎡及饲料加工房40㎡、蓄水池1座、硬化路面及购买种猪、饲料、柴油发电机等,53.68,50,3.68,53.68,50,3.68,经营类,猪,盘活,升级,是,委托运营,农牧民专业合作社,察隅县下察隅镇沙琼村小次仁农民专业合作社,否,,,96600,,察隅县农业农村局​,,是,确权资料,是,无需写,
540425201907013,林芝市,察隅县,2019,下察隅镇自更村仁青罗布生态养殖专业合作社藏香猪养殖项目,下察隅镇人民政府,下察隅镇自更村,新建饲料仓库59.04平方米，配套网围栏等附属设施,30,30,0,30,30,0,经营类,猪,盘活,调整,否,,,,,,,,,,,是,确权资料,否,无需写,是
540425201907014,林芝市,察隅县,2019,下察隅镇拉丁村藏香猪养殖项目,下察隅镇人民政府,下察隅镇拉丁村,新建猪圈149.24平方米，新建蓄水池3.14立方米，化粪池一座3立方米等附属设施,20,20,0,20,20,0,经营类,猪,盘活,盘活,是,委托运营,农户,谢次仁,否,,,,,,,是,确权资料,是,无需写,是
540425201907015,林芝市,察隅县,2019,下察隅镇塔玛村藏猪养殖项目,下察隅镇人民政府,下察隅镇塔玛村,扩建猪圈51.34平米，并配套库房、饲料加工厂、围栏等附属设施。,20,20,0,20,20,0,经营类,猪,盘活,升级,是,自主运营,农牧民专业合作社,塔玛村藏香猪养殖专业合作社,,,,,,,,是,确权资料,否,无需写,
540425201908007,林芝市,察隅县,2019,察隅县竹瓦根镇扎拉村“4+1”藏鸡养殖项目,竹瓦根镇人民政府,竹瓦根镇扎拉村,鸡舍、仓库、化粪池、铁大门、附属设施部分、设备购置部分,41.03,30,11.03,41.03,30,11.03,经营类,鸡,盘活,盘活,否,委托运营,农户,成晓,,,,,,,,是,确权资料,否,无需写,是
540425201907016,林芝市,察隅县,2019,察隅县察瓦龙乡扎那村藏香猪养殖项目,察瓦龙乡人民政府,察瓦龙乡扎那村,"新建养猪厂面积314.32㎡（采用砖混结构），购买母猪30头，公猪3头，购买饲料加工机1台（型号：9FQ40－28，动力：11－15KW），购买柴油发电机1台（型号：Ｌ32－ROO，动力：23KW），新建猪舍C20砼硬化路面180.64㎡，饲养用水水管直径75mmPE管300m,饲养用水水管直径25mmPE管260m，新建大门一座",50.6,50,0.6,50.6,50,0.6,经营类,猪,盘活,调整,否,,,,否,,,,,察隅县农业农村局,资产闲置了,是,确权资料,否,无需写,是
540425201907017,林芝市,察隅县,2019,察隅县竹瓦根镇生猪养殖项目,竹瓦根镇人民政府,竹瓦根镇,新建猪舍153.78平方米，新建值班室44.65平方米，硬化工程115.02平方米，新建网围栏114.50米，新建挡土墙工程1.06立方米，挖填方工程1项，新建大门一座，室外给排水工程1项，室外电气工程1项；种猪、小猪、柴油发电机、饲料加工机等设备购置,50,50,0,50,50,0,经营类,猪,盘活,盘活,否,,,,,,,,,,,是,确权资料+立项批复,否,无需写,是
540425201919019,林芝市,察隅县,2019,察隅县察瓦龙乡前中瓦村核桃榨油坊建设项目,察瓦龙乡人民政府,察瓦龙乡前中瓦村,"新建特色产品加工坊173.50m²，硬化工程220m²，土石方工程1500m3，新建围墙90m,新建大门1座，购置核桃加工设备1套",50.06,50,0.06,50.06,50,0.06,经营类,设施农业,升级,盘活,是,委托运营,个体工商户,多吉,否,,,,,察隅县农业农村局,,是,确权资料,否,无需写,是
540425201919020,林芝市,察隅县,2019,察隅县察瓦龙乡处尼村特色农产品加工坊建设项目,察瓦龙乡人民政府,察瓦龙乡处尼村,新建特色产品加工坊558.96m²，硬化工程423.12m²，购置仙人掌加工设备1套，核桃加工设备1套,76.11,50,26.11,76.11,50,26.11,经营类,设施农业,升级,调整,否,,,,,,,,,,已搬迁,是,确权资料,否,无需写,是
540425201919021,林芝市,察隅县,2019,察隅县2019年庭院经济扶贫种植项目,察隅县林业和草原局,前中瓦村、拉卡村、松塔村、扎那村、扎恩村、昌西村、曲珠村、龙普村、沙布村、目巴村、格布村、俄玉村,购置经济林木，前中瓦村：石榴1440株，苹果600株；拉卡村：石榴585株；松塔村：石榴500株；扎那村：石榴2908株；扎恩村：石榴2045株，苹果630株，橘子380株，水蜜桃25株；昌西村：石榴160株；曲珠村：石榴1030株；龙普村：石榴1240株，苹果995株，橘子115株，水蜜桃230株；沙布村：苹果148株，橘子145株；目巴村：石榴2100株；格布村：石榴675株；俄玉村：苹果380株，水蜜桃380株,150,150,0,150,150,0,公益类,其他,调整,,,,,,,,,,,,,否,立项批复，审定金额待定,是,是,
540425201912011,林芝市,察隅县,2019,察隅县上察隅镇体育村通迪茶叶种植项目,察隅县产业发展工作领导小组办公室,上察隅镇体育村,上察隅镇体育迪通种植茶叶136亩，新建蓄水池，购买茶苗，安装网围栏等附属设施,285.98,285.98,0,279.814274,279.814274,0,经营类,茶,升级,调整,否,,,,,,,,,,,否,立项批复+19-25年台账（20年）,否,是,
540425201919022,林芝市,察隅县,2019,察隅县古拉乡则巴村扩建核桃加工项目,古拉乡人民政府,古拉乡则巴村,加工场地晒坝硬化260㎡，围墙48m，线路改造180m；设备购置：液压榨油机1台，剥壳机 2台，分拣机1台，烘干机1台，过滤器2台，核桃粉碎机（核桃粉）1台，包装机2台，包装袋及包装瓶1项，变压器及安装备件等1台，销售点装修费及柜台等1项，后期运转经费1项,50,50,0,50,50,0,经营类,设施农业,升级,调整,否,,,,,,,,,​察隅县农业农村局,已搬迁,是,确权资料,是,无需写,是
540425201919023,林芝市,察隅县,2019,察隅县本土生态农产品加工项目,察隅县农业农村局,上察隅镇迟巴村,在上察隅迟巴村建立鸡爪股粉生产线、花生生产线等附属设施,250,250,0,239.927031,239.927031,0,经营类,设施农业,升级,盘活,否,,,,,,,,,,产权未确定,是,确权资料+50-1000万财评统计表,否,无需写,
540425201919024,林芝市,察隅县,2019,察隅县古拉乡特色经济林果种植建设项目,察隅县林业和草原局,古拉乡目本村,人工种植突尼斯软粒石榴(含种苗购置及种植）45703株，成活养护960项，网围栏9587m，给水工程1项：灌溉水管共10819m、蓄水池4个共180m³、取水器260套、控制阀28个,943.67,943.67,0,881.452615,881.452615,0,经营类,石榴,盘活,调整,否,,,,,,,,,,察空村已整体搬迁,是,确权资料,否,无需写,是
540425201912012,林芝市,察隅县,2019,察隅县上察隅镇本堆村茶叶种植项目,察隅县产业发展工作领导小组办公室,上察隅镇本堆村,土地平整133亩，新建蓄水池，购买茶苗，安装网围栏等附属设施,265.93,265.93,0,251.863632,251.863632,0,经营类,茶,升级,升级,是,委托运营,私企,察隅伟诚茶业有限责任公司,否,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425201903001,林芝市,察隅县,2019,察隅县下察隅镇拉丁村生物有机肥厂建设项目,下察隅镇人民政府,下察隅拉丁村,生化有机肥厂：建筑装饰工程1206.96平方米，安装工程1206.96平方米；门卫宿舍楼：建筑工程45.1平方米，安装工程45.1平方米；附属工程：通透式围墙316米，新建大门1座，室外电气工程1项，室外给排水工程1项，设备购置等,306,306,0,295.333946,295.333946,0,经营类,饲料,升级,升级,否,,,,,,,,,,,是,确权资料,否,无需写,
540425201912013,林芝市,察隅县,2019,察隅县上察隅镇本堆村函部茶叶种植项目,察隅县扶贫开发办公室,上察隅镇本堆村,土地平整103目，新建蓄水池，购买茶苗，安装网围栏等附属设施,205.93,205.93,0,185.694216,185.694216,0,经营类,茶,升级,升级,否,,,,,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425201919025,林芝市,察隅县,2019,察隅县就业创业孵化基地维修改造工程,县人力资源和社会保障局,察隅县,"新建轻质隔墙141.4㎡，乳胶漆内墙853.8㎡，乳胶漆顶棚407.3㎡，瓷砖内墙5.4㎡，新建台阶12.16㎡，安装工程454.5㎡，展览架5架，脚手架1项,拆除工程1项，门窗工程1项",50,50,0,45.3,45.3,0,公益类,其他,调整,,,,,,,,,,,,,是,确权资料+立项批复,否,无需写,
540425201916009,林芝市,察隅县,2019,察隅县易地扶贫集中安置点温室配套建设项目,县脱贫攻坚指挥部产业组,下察隅镇格巴村、卡地村等村,240平米温室大棚工程（共15栋），216平米温室大棚工程（共3栋），土石方工程、总平给排水工程,143.46,143.46,0,121.212634,121.212634,0,公益类,设施农业,升级,,是,委托运营,私企,西藏利隆农业有限公司,否,,,,,,目本村由西藏利隆农业有限公司运营、,是,确权资料,否,无需写,
540425201916010,林芝市,察隅县,2019,察隅县上察隅镇竹巴村温室大棚建设项目,上察隅镇人民政府,上察隅镇竹巴村,新建蔬菜温室大棚6栋，每栋240㎡,35.2,35.2,0,35.2,35.2,0,经营类,设施农业,升级,升级,是,委托运营,农户,吴芝云,否,,,,,,,是,确权资料,否,无需写,
540425201916011,林芝市,察隅县,2019,察隅县竹瓦根镇知美村、曲瓦村新建温室大棚项目,竹瓦根镇人民政府,竹瓦根镇知美村、曲瓦村,在知美村新建10座100平方米的钢架双膜结构温室大棚，在曲瓦村新建6座99平方米的钢架双膜结构温室大棚,58.4,58.4,0,58.4,58.4,0,到户类,设施农业,升级,,是,,,,,,,,,,,是,确权资料+项目资料,否,无需写,
540425201916012,林芝市,察隅县,2019,察隅县竹瓦根镇学尼村现代设施农业建设项目,察隅县农牧局,竹瓦根镇学尼村,联栋温室大棚：建筑装饰工程3499.32㎡，安装工程3499.32㎡，附属工程：通透式围墙455m，新建大门1座，新建硬化247.73㎡，种植土1项,750,750,0,742.0825,742.0825,0,经营类,设施农业,升级,巩固,是,委托运营,私企,察隅县牧丰绿色农业有限公司,否,,,23898.29,14,察隅县农业农村局​,,是,概批+50-1000万财评台账,否,无需写,
540425201917009,林芝市,察隅县,2019,察瓦龙乡扎恩村旅游民宿客栈建设项目,察瓦龙乡人民政府,察瓦龙乡扎恩村,客栈：建筑装饰工程196.71㎡，安装工程196.71㎡；附属工程：总平电气1项，总平给排水1项，大门工程1项，透视围墙1项及设备购置。,85,85,0,80.818207,80.818207,0,经营类,乡村旅游,升级,盘活,是,委托运营,个体工商户,孙玉聪,否,,,,,察隅县农业农村局,,否,立项+50-1000万台账,否,是,是
540425201917010,林芝市,察隅县,2019,察隅县察瓦龙乡梦扎村客栈建设项目,察瓦龙乡人民政府,察瓦龙乡梦扎村,建筑装饰工程686.76㎡，安装工程686.76㎡；附属工程：总体给排水工程1项，总体电器工程1项等内容,253.08,10,243.08,253.08,10,243.08,经营类,乡村旅游,升级,巩固,否,,,,,,,,,,已搬迁,否,立项批复，审定金额无，以批复金额确权,否,是,
540425201920020,林芝市,察隅县,2019,察隅县察瓦龙乡洪东村石榴种植项目,察瓦龙乡人民政府,察瓦龙乡洪东村,挖种植穴2750株，购买种苗2750株，基肥7吨，病虫害防治50亩，围栏、大门等3000米，保湿地膜2750米，蓄水池50立方米，取水口2立方米，PE75引水管2500米，PE50支管300米，32塑料软管900米。,60,60,0,55.241853,55.241853,0,经营类,石榴,调整,盘活,是,委托运营,个体工商户,江村,否,,,,,​察隅县农业农村局,,否,立项+50-1000万台账,是,是,是
540425201917011,林芝市,察隅县,2019,察隅县目若村农家旅游驿站建设项目,竹瓦根镇人民政府,竹瓦根镇目若村,车行道工程3133.8㎡，入户道路工程909㎡，路基土方工程1项，排水沟工程550m，垃圾收集池工程1座，路缘石工程1102m，排污工程1项，照明工程1项，给水工程1项,864.36,864.36,0,805.88,805.88,0,公益类,乡村旅游,升级,,否,,,,,,,,,,,否,立项+50-1000万台账+财评,否,是,
540425201912014,林芝市,察隅县,2019,察隅县产业扶贫竹巴村茶叶种植项目,察隅县扶贫开发投资有限公司,上察隅竹巴村,土地平整：土石方工程1项；灌溉工程：管道工程1项，取水口1座，100m3蓄水池1座；茶叶种植：第一次树苗种植424950株，第二次补苗70825株；附属工程：铁丝网围栏2834.83m，大门3座，道路破除及恢复8㎡，设备购置：购买及运输除草机2部，购买安装防虫灯12个，购买安装标识牌2个,360,240,120,360,240,120,经营类,茶,升级,盘活,是,委托运营,私企,察隅伟诚茶业有限责任公司,否,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425201919026,林芝市,察隅县,2019,察隅县上察隅镇荣玉村花椒种植项目,上察隅镇人民政府,上察隅镇荣玉村,土地平整；灌溉工程：管道工程1项，取水口1座，10m3蓄水池1座；花椒种植：花椒种植6066株，购买、施有机肥18.2t；附属工程：铁丝网围栏786m，大门1座,70,59,11,70,59,11,经营类,其他,调整,调整,是,委托运营,农户,江安扎西,,,,,,,项目以由花椒改种果园、产值、产量以及收益不详，无法开展评估,否,立项批复+50-1000万台账（未注明审定金额）,否,是,是
540425202019027,林芝市,察隅县,2020,察隅县育肥饲料（青贮玉米）加工厂项目,察隅县农业农村局,下察隅镇巴安通村,饲料加工厂，建筑装饰工程725.24平方米，安装工程725.4平方米，附属工程及设备购置,150,150,0,141.610593,141.610593,0,经营类,饲料,升级,升级,是,,,,,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425202012015,林芝市,察隅县,2020,察隅县上察隅镇荣玉村第二期茶叶种植项目,察隅县农业农村局,上察隅镇荣玉村,土地平整：土方清理150076.39m³，石方清理13985m³，场地平整699023.24m2，灌溉工程，管道工程1项，沉砂池1座，取水口1座，100m3蓄水池1座；茶叶种植：第一次茶苗种植2432636株，第二次茶苗补植419420株，防草布547154.36m2，反光膜151987.32m2，有机肥524.28t；附属设施：铁丝网围栏7684.07m，大门2座，标识牌1个,2403.91,2403.91,0,2286.39,2286.39,0,经营类,茶,升级,升级,是,委托运营,私企,西藏宏峰建筑工程有限公司,否,,,,,,,是,确权资料+超过1千万的财评台账（23年）,否,无需写,
540425202019028,林芝市,察隅县,2020,察隅县雪颠57啤酒厂改扩建项目,西藏自治区察隅县国有资产经营有限公司,竹瓦根镇嘎巴村,采购水处理系统一套、粉碎系统一套、啤酒糖化设备生产线一套、发酵系统一套等,380,380,0,379,379,0,经营类,商贸流通,巩固,升级,是,自主运营,国企,察隅县雪巅啤酒有限公司,否,,,0,11,察隅县国资委,,是,确权资料+50-1000万财评统计表,否,无需写,
540425202020021,林芝市,察隅县,2020,察隅县察瓦龙乡珠拉村石榴种植项目,察隅县农业农村局,察瓦龙乡珠拉村,"种植工程，石榴种苗1454株，种植费32.3亩，有机肥1454株，病虫害防治32.3亩，人工修枝及管护32.3亩，保水剂32.3亩，蓄水池工程2座，灌溉支水管588.7m（PE,DN60），灌溉毛管541.13m（PE,DN13），控制阀门16个，网围栏906.21m。",43,43,0,43,43,0,经营类,石榴,调整,盘活,是,,,,,,,,,,,是,确权资料,是,无需写,是
540425202020022,林芝市,察隅县,2020,察隅县察瓦龙乡阿丙村石榴种植项目,察隅县农业农村局,察瓦龙乡阿丙村,种植工程，石榴种苗6469株，种植费125亩，有机肥5625株，病虫害防治125亩，人工修枝及管护125亩，保水剂125亩，主水管299.18m（PE-DN110），灌溉支水管815.04m（PE-DN60），灌溉毛管16320.17m（PE-DN13），滴头5625个，控制阀门4个，网围栏1122.13m,163,163,0,163,163,0,经营类,石榴,调整,盘活,否,,,,否,,,,,察隅县农业农村局,确权表主体是察瓦龙乡人民政府,是,确权资料+50-1000万财评统计表,否,无需写,是
540425202020023,林芝市,察隅县,2020,察隅县察瓦龙乡龙布村石榴种植项目,察隅县农业农村局,察瓦龙乡龙布村,"种植工程，石榴种苗12420株，种植费240亩，有机肥10800株，病虫害防治240亩，人工修枝及管护240亩，保水剂240亩，蓄水池工程2座，主水管1957.75m（PE,DN110），灌溉支水管1719.76m（PE,DN60），灌溉毛管4300.07m（PE,DN13），控制阀门60个，网围栏4271.4m。",312,312,0,312,312,0,经营类,石榴,调整,盘活,否,,,,否,,,,,察隅县农业农村局,确权表主体是察瓦龙乡人民政府,是,审定金额来源于确权资料和统计表,是,无需写,是
540425202020024,林芝市,察隅县,2020,古拉乡安巴村石榴种植项目,古拉乡人民政府,古拉乡安巴村,种植工程：管道工程1项，闸阀井5套，蓄水池3座，网围栏1998m，石榴种植1项；临时工程：临时工程1项。,137,137,0,133.6574,133.6574,0,经营类,石榴,调整,调整,否,,,,,,,,,,,是,确权资料,是,无需写,是
540425202012016,林芝市,察隅县,2020,察隅县下察隅镇松古村茶叶种植项目,县农业农村局,下察隅镇松古村,土地平整：土方清理13844.69m³，石方清理11610m³，场地平整357492.358m2，灌溉工程，管道工程1项，沉砂池3座，取水口3座，50m3蓄水池1座，25m3蓄水池2座；茶叶种植：第一次茶苗种植1833264株，第二次茶苗补植316080株，防草布412342.25m2，反光膜90833.48m2，有机肥395.11t；附属设施：铁丝网围栏8517.58m，大门3座，标识牌3个,1431,1431,0,1431,1431,0,经营类,茶,升级,升级,是,,,,,,,,,,,是,确权资料,否,无需写,
540425202021002,林芝市,察隅县,2020,察隅县察瓦龙乡龙布村羊肚菌种植项目,察瓦龙乡人民政府,察瓦龙乡龙布村,种植羊肚菌40亩，并配套灌溉、围栏等附属设施,50,50,0,50,50,0,经营类,菌类,升级,调整,否,,,,,,,,,,,是,确权资料,否,无需写,是
540425202019029,林芝市,察隅县,2020,察隅县察瓦龙乡龙布村灵芝种植项目,察瓦龙乡人民政府,察瓦龙乡龙布村,种植灵芝菌8亩，并配套灌溉、围栏等附属设施,50,50,0,50,50,0,经营类,菌类,升级,调整,否,,,,,,,,,,,是,确权资料,否,无需写,是
540425202012017,林芝市,察隅县,2020,察隅县上察隅镇松林村茶叶种植项目,察隅县农业农村局,上察隅镇松林村,土地平整：土方清理5113.18m³，石方清理6000m³，场地平整196025.72m2；灌溉工程：管道工程1项，沉砂池2座，取水口2座，25m3蓄水池1座，50m3蓄水池1座；茶叶种植：第一次茶苗种植682150株，第二次茶苗补植117612株，防草布153430.8m2，反光膜42619.65m2，有机肥147.02t，附属设施：铁丝网围栏3969.32m，大门2座，标识牌2个。,569,569,0,562.021472,562.021472,0,经营类,茶,升级,升级,是,委托运营,私企,西藏朝发润物农业开发有限公司,否,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425202019030,林芝市,察隅县,2020,察隅县下察隅镇京都村柑橘项目,察隅县扶贫开发办公室,下察隅京都村,购买京都村柑桔地120亩地面附着物以及152亩新建网围栏、灌溉管道工程、追肥等配套附属设施。,60,60,0,59.36,59.36,0,经营类,其他,调整,升级,是,委托运营,私企,察隅县兴农猕猴桃有限公司,否,,,314545,,察隅县农业农村局​,,是,确权资料+50-1000万财评统计表,否,无需写,
540425202020025,林芝市,察隅县,2020,察隅县察瓦龙乡阿丙村软籽石榴种植项目二期,察隅县农业农村局,察瓦龙乡阿丙村,种植石榴222.5亩，并配套附属设施,316.99,316.99,0,316.99,316.99,0,经营类,石榴,调整,盘活,是,,,,,,,,,,,是,审定金额来源于确权资料和统计表,否,无需写,是
540425202020026,林芝市,察隅县,2020,察隅县察瓦龙乡拉卡村软籽石榴种植项目,察隅县农业农村局,察瓦龙乡拉卡村,种植石榴110.4亩，并配套附属设施,166,166,0,166,166,0,经营类,石榴,调整,调整,否,,,,,,,,,,已搬迁,是,确权资料+50-1000万财评统计表,否,无需写,是
540425202020027,林芝市,察隅县,2020,察隅县察瓦龙乡龙普村软籽石榴种植项目,察隅县农业农村局,察瓦龙乡龙普村,种植石榴300亩，灌溉工程2885M，并配套附属设施,391.07,391.07,0,391.07,391.07,0,经营类,石榴,调整,盘活,是,,,,,,,,,,,是,确权资料+立项批复,是,无需写,是
540425202020028,林芝市,察隅县,2020,察隅县察瓦龙乡昌西村软籽石榴种植项目,察隅县农业农村局,察瓦龙乡龙普村,种植石榴120亩，并配套附属设施,173.64,173.64,0,173.64,173.64,0,经营类,石榴,调整,盘活,是,,,,,,,,,,,是,确权资料,是,无需写,是
540425202017012,林芝市,察隅县,2020,察隅县察瓦龙乡旅游特色村镇建设项目,县文化和旅游局,察瓦龙乡,接待中心：建筑装饰工程53.88m²，安装工程53.88m²；2#楼餐厅：建筑装饰工程184.86m²，安装工程184.86m²；3#楼客栈：建筑装饰工程151.68m²，安装工程151.68m²，附属工程：室外电气工程1项，室外给排水工程1项，引水工程3023.78m，新建汤池6座，场地硬化工程227.04m2，园林绿化576.91m2，休息石桌椅6套，大门石墩2套，围墙工程132.52m，栏杆工程66.15m，帐篷承台1项；设备及工器具购置：空气能热源泵1台，家具、帐篷、遮阳座椅1项,500,500,0,491.996635,491.996635,0,经营类,乡村旅游,升级,巩固,是,委托运营,个体工商户,珠格,否,,,,,察隅县文化和旅游局,,是,确权资料+50-1000万财评统计表,是,无需写,
540425202012018,林芝市,察隅县,2020,察隅县上察隅镇格拥村茶叶种植项目,察隅县农业农村局,上察隅镇格拥村,土地平整：土方清理2557.8m3，石方清理1200m3，场地平整81109㎡；灌溉工程：管道工程1项，沉砂池1座，取水口1座，50m3蓄水池1座；茶叶种植：第一次茶树种植351086株，第二次茶树种植60552株，防草布78993.2㎡，反光膜21942.6㎡，有机肥75.7t；附属设施：铁丝网围栏2900m，大门3座，标识牌1个,305.85,305.85,0,295.120467,295.120467,0,经营类,茶,升级,盘活,,,,,,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425202012029,林芝市,察隅县,2020,察隅县上察隅镇米古村第二期茶叶种植项目,察隅县农业农村局,上察隅米古村,土石方工程1项，灌溉工程1项，茶苗种植工程：茶树种植160208株，防草布30835.19m2，反光膜8637.6m2，有机肥29.45t，附属工程：铁丝围栏1520m，大门1座，标识牌1个,113.07,113.07,0,104.330065,104.330065,0,经营类,茶,升级,升级,是,,,,,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425202012020,林芝市,察隅县,2020,察隅县下察隅镇卡地村第二期茶叶种植项目,察隅县农业农村局,下察隅卡地村,土石方工程：场地平整39768m2，土方工程1385.52m3，石方清理900m3；灌溉工程：管道工程1项，25m³蓄水池1座，取水口1座，沉砂池1座；茶叶种植：第一次茶苗种植184832株，第二次茶苗补植31868株，防草布41772.9m2，反光膜11749m2，有机肥39.8t；附属设施：铁丝围栏1051.45m，大门1座，石头围墙700m，标识牌1个,183.24,183.24,0,176.380201,176.380201,0,经营类,茶,升级,升级,是,自主运营,农村集体经济组织,西藏自治区林芝市察隅县下察隅镇卡地村股份经济合作社,否,,,,,,,是,确权资料+50-1000万财评统计表,是,无需写,
540425202004005,林芝市,察隅县,2020,察隅县竹瓦根镇高寒牧区高产养殖项目,竹瓦根镇人民政府,竹瓦根镇嘎达村,牛棚：建筑装饰工程600.16m2，安装工程600.16m2，隔离牛舍：建筑装饰工程37.84m2，安装工程37.84m2，宿舍兼消毒室：建筑装饰工程58.96m2，安装工程58.96m2，附属工程：新建消毒池1座，新建网围栏323.57米，总平电气1项，总平给排水1项，土石方工程1项，设备及工器具购置：牦牛75头，母牛10头，种牛5头，饲草料1项，干饲料1项；防疫费1项；饲料粉碎机1台,254.46,254.46,0,247.929484,247.929484,0,经营类,牦牛,盘活,盘活,是,委托运营,私企,西藏察鑫农业科技有限公司,否,,,,,察隅县农业农村局​,,是,确权资料+50-1000万财评统计表,否,无需写,是
540425202020029,林芝市,察隅县,2020,察隅县察瓦龙乡扎那村软籽石榴种植项目,察瓦龙乡人民政府,察瓦龙扎那村,种植石榴98亩，并配套附属设施,140,140,0,125.370018,125.370018,0,经营类,石榴,调整,盘活,是,,,,,,,,,,立项批复和确权申报主体:察隅县农业农村局,是,确权资料+50-1000万财评统计表,是,无需写,是
540425202112021,林芝市,察隅县,2021,察隅县上察隅镇荣玉村茶叶粗加工坊建设项目,察隅县农业农村局,上察隅荣玉村,茶叶粗加工厂房：建筑装饰工程725.23m2，安装工程725.23m2；门卫室：建筑装饰工程53.04m2，安装工程53.04m2；附属工程：新建围墙144.60m，硬化工程637.32m2，停车位画线1.00项，绿化工程816.04m2，总体给排水工程1.00项，总体电气工程1.00项,300,300,0,263.240156,263.240156,0,经营类,茶,升级,升级,是,委托运营,私企,察隅县百振茶叶有限公司,,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
