凭证号,日期,摘要,科目,金额,部门,经办人,支付方式,数据来源
PZ-00475,2026-03-13,办公费费用,5508,700.0,财务部,员工02,现金,人造
PZ-00433,2026-06-19,劳务费费用,5504,57000.0,总经办,员工17,银行转账,人造
PZ-00102,2026-03-17,租赁费采购,5508,4699.73,销售部,员工03,公务卡,正常
PZ-00311,2026-01-06,办公费费用,5508,6000,采购部,员工04,银行转账,人造
PZ-00180,2026-02-02,维修费采购,5508,15.04,销售部,员工17,公务卡,正常
PZ-00063,2026-04-20,租赁费采购,5507,6950.03,销售部,员工29,银行转账,正常
PZ-00211,2026-03-04,差旅费采购,5506,354.54,人事部,员工10,现金,正常
PZ-00011,2026-03-13,印刷费采购,5502,182.17,技术部,员工30,公务卡,正常
PZ-00177,2026-04-02,办公用品采购,5506,43.1,人事部,员工03,公务卡,正常
PZ-00132,2026-06-05,差旅费采购,5505,15.79,总经办,员工24,现金,正常
PZ-00286,2026-04-06,租赁费采购,5508,11492.17,技术部,员工28,银行转账,正常
PZ-00287,2026-02-26,培训费采购,5501,2857.53,采购部,员工14,公务卡,正常
PZ-00336,2026-02-07,劳务费费用,5506,800.0,采购部,员工06,银行转账,人造
PZ-00185,2026-06-22,租赁费采购,5502,167.0,采购部,员工17,现金,正常
PZ-00134,2026-04-26,印刷费采购,5506,2914.04,行政部,员工15,银行转账,正常
PZ-00172,2026-02-03,租赁费采购,5502,133.3,技术部,员工29,现金,正常
PZ-00381,2026-02-25,咨询费费用,5509,9100.0,总经办,员工03,现金,人造
PZ-00050,2026-03-12,租赁费采购,5507,19.66,总经办,员工01,银行转账,正常
PZ-00416,2026-05-15,会议费费用,5506,900.0,市场部,员工25,银行转账,人造
PZ-00492,2026-03-08,印刷费费用,5502,1000,财务部,员工24,现金,人造
PZ-00131,2026-06-25,邮电费采购,5502,262.08,财务部,员工10,现金,正常
PZ-00111,2026-03-18,办公用品采购,5509,170.97,采购部,员工03,银行转账,正常
PZ-00031,2026-01-13,印刷费采购,5508,41.64,人事部,员工14,公务卡,正常
PZ-00084,2026-05-23,印刷费采购,5509,1340.34,财务部,员工17,银行转账,正常
PZ-00051,2026-03-02,差旅费采购,5510,9178.57,采购部,员工12,公务卡,正常
PZ-00436,2026-05-15,咨询费费用,5508,8200.0,销售部,员工11,银行转账,人造
PZ-00025,2026-02-24,培训费采购,5504,22142.37,销售部,员工26,现金,正常
PZ-00291,2026-01-07,维修费采购,5502,1957.01,销售部,员工30,银行转账,正常
PZ-00288,2026-03-07,咨询费采购,5502,338.84,销售部,员工28,现金,正常
PZ-00129,2026-06-13,印刷费采购,5501,19.77,财务部,员工30,公务卡,正常
PZ-00154,2026-02-22,培训费采购,5502,3374.3,行政部,员工27,银行转账,正常
PZ-00250,2026-02-08,印刷费采购,5509,7610.07,人事部,员工08,现金,正常
PZ-00413,2026-01-16,会议费费用,5505,1000,市场部,员工22,现金,人造
PZ-00274,2026-01-14,咨询费采购,5502,857.83,财务部,员工30,银行转账,正常
PZ-00265,2026-03-11,印刷费采购,5510,744.67,财务部,员工09,公务卡,正常
PZ-00323,2026-01-04,会议费费用,5506,700.0,人事部,员工11,现金,人造
PZ-00069,2026-06-18,维修费采购,5508,15382.2,技术部,员工09,现金,正常
PZ-00390,2026-03-08,咨询费费用,5501,85401.25,采购部,员工19,现金,人造
PZ-00216,2026-03-08,差旅费采购,5501,13143.85,市场部,员工16,公务卡,正常
PZ-00091,2026-01-23,租赁费采购,5503,1179.44,人事部,员工02,银行转账,正常
PZ-00411,2026-01-21,办公费费用,5505,93000,人事部,员工30,现金,人造
PZ-00243,2026-03-16,办公用品采购,5506,87087.39,总经办,员工22,银行转账,正常
PZ-00077,2026-05-22,会议费采购,5507,59.28,技术部,员工03,公务卡,正常
PZ-00075,2026-02-05,培训费采购,5502,56.21,技术部,员工15,公务卡,正常
PZ-00101,2026-05-24,印刷费采购,5508,179.25,行政部,员工15,公务卡,正常
PZ-00196,2026-06-11,邮电费采购,5503,28.38,财务部,员工10,现金,正常
PZ-00222,2026-01-03,印刷费采购,5507,361.19,销售部,员工17,现金,正常
PZ-00285,2026-01-12,会议费采购,5509,35558.5,总经办,员工23,现金,正常
PZ-00476,2026-05-18,劳务费费用,5503,62734.95,采购部,员工21,现金,人造
PZ-00139,2026-03-16,差旅费采购,5502,29.45,技术部,员工29,公务卡,正常
PZ-00370,2026-04-18,劳务费费用,5504,8173.87,行政部,员工15,银行转账,人造
PZ-00405,2026-04-20,办公费费用,5503,87000,销售部,员工19,现金,人造
PZ-00470,2026-01-06,劳务费费用,5502,9800.0,人事部,员工28,银行转账,人造
PZ-00498,2026-06-15,办公费费用,5510,9813.15,销售部,员工25,银行转账,人造
PZ-00443,2026-01-13,劳务费费用,5510,917.37,总经办,员工17,现金,人造
PZ-00068,2026-05-13,培训费采购,5501,68.56,总经办,员工10,现金,正常
PZ-00293,2026-03-17,培训费采购,5508,6308.42,行政部,员工26,公务卡,正常
PZ-00093,2026-03-06,办公用品采购,5505,54787.14,销售部,员工04,银行转账,正常
PZ-00231,2026-05-05,咨询费采购,5506,62040.23,总经办,员工13,银行转账,正常
PZ-00437,2026-05-18,咨询费费用,5502,91026.43,人事部,员工29,银行转账,人造
PZ-00206,2026-04-02,印刷费采购,5504,17.15,财务部,员工26,银行转账,正常
PZ-00187,2026-01-17,租赁费采购,5509,607.72,财务部,员工22,现金,正常
PZ-00473,2026-06-08,劳务费费用,5503,63967.85,市场部,员工15,银行转账,人造
PZ-00359,2026-02-06,咨询费费用,5509,500.0,采购部,员工08,现金,人造
PZ-00215,2026-03-12,培训费采购,5502,567.9,市场部,员工17,现金,正常
PZ-00408,2026-06-09,办公费费用,5507,63054.6,总经办,员工15,现金,人造
PZ-00218,2026-02-28,差旅费采购,5508,52001.78,市场部,员工29,公务卡,正常
PZ-00479,2026-03-24,咨询费费用,5508,76611.1,销售部,员工16,银行转账,人造
PZ-00095,2026-02-04,租赁费采购,5507,5085.18,技术部,员工25,公务卡,正常
PZ-00188,2026-02-06,邮电费采购,5510,359.72,市场部,员工24,现金,正常
PZ-00497,2026-01-18,咨询费费用,5509,8261.11,人事部,员工11,银行转账,人造
PZ-00402,2026-02-15,会议费费用,5507,9400.0,销售部,员工25,现金,人造
PZ-00242,2026-05-11,邮电费采购,5507,832.79,人事部,员工19,现金,正常
PZ-00486,2026-04-12,劳务费费用,5510,8800.0,行政部,员工14,银行转账,人造
PZ-00122,2026-01-25,差旅费采购,5508,74.34,市场部,员工23,现金,正常
PZ-00135,2026-02-28,会议费采购,5509,875.41,总经办,员工03,现金,正常
PZ-00281,2026-06-28,办公用品采购,5504,75977.84,财务部,员工13,现金,正常
PZ-00096,2026-04-10,会议费采购,5505,34505.14,财务部,员工20,公务卡,正常
PZ-00133,2026-05-12,租赁费采购,5509,120.08,人事部,员工27,银行转账,正常
PZ-00314,2026-04-26,咨询费费用,5506,700.0,人事部,员工08,现金,人造
PZ-00186,2026-02-07,咨询费采购,5508,43.62,技术部,员工08,银行转账,正常
PZ-00167,2026-02-05,会议费采购,5509,27470.13,技术部,员工17,公务卡,正常
PZ-00052,2026-05-04,会议费采购,5510,5436.39,技术部,员工09,银行转账,正常
PZ-00298,2026-05-21,办公用品采购,5509,11840.48,财务部,员工27,银行转账,正常
PZ-00195,2026-02-13,差旅费采购,5506,25020.07,技术部,员工01,现金,正常
PZ-00108,2026-04-28,租赁费采购,5501,5323.27,销售部,员工14,银行转账,正常
PZ-00346,2026-01-24,咨询费费用,5502,9000,总经办,员工12,现金,人造
PZ-00007,2026-05-28,咨询费采购,5510,1829.4,技术部,员工23,银行转账,正常
PZ-00005,2026-03-04,差旅费采购,5507,195.71,行政部,员工12,现金,正常
PZ-00353,2026-06-17,办公费费用,5507,1000,采购部,员工03,银行转账,人造
PZ-00445,2026-06-07,会议费费用,5504,97118.74,人事部,员工22,现金,人造
PZ-00236,2026-03-16,培训费采购,5505,5048.66,财务部,员工28,银行转账,正常
PZ-00266,2026-01-22,差旅费采购,5508,5692.76,人事部,员工06,现金,正常
PZ-00358,2026-03-06,印刷费费用,5502,85000.0,行政部,员工08,银行转账,人造
PZ-00460,2026-01-24,会议费费用,5501,67413.75,销售部,员工23,现金,人造
PZ-00235,2026-04-01,差旅费采购,5507,18790.75,销售部,员工08,银行转账,正常
PZ-00090,2026-05-20,印刷费采购,5502,2724.58,技术部,员工10,银行转账,正常
PZ-00398,2026-02-05,劳务费费用,5510,98000,行政部,员工30,银行转账,人造
PZ-00352,2026-01-01,劳务费费用,5502,74700.0,财务部,员工09,银行转账,人造
PZ-00202,2026-03-03,租赁费采购,5509,15.23,财务部,员工13,现金,正常
PZ-00178,2026-05-13,培训费采购,5510,26.14,财务部,员工15,公务卡,正常
PZ-00258,2026-02-18,办公用品采购,5503,46.52,采购部,员工29,银行转账,正常
PZ-00017,2026-06-24,印刷费采购,5509,245.37,市场部,员工17,银行转账,正常
PZ-00277,2026-05-13,租赁费采购,5503,61.78,技术部,员工27,银行转账,正常
PZ-00245,2026-05-16,邮电费采购,5509,172.13,采购部,员工05,公务卡,正常
PZ-00217,2026-01-09,印刷费采购,5508,29135.42,技术部,员工20,现金,正常
PZ-00410,2026-03-21,印刷费费用,5504,8640.59,市场部,员工17,银行转账,人造
PZ-00270,2026-05-04,办公用品采购,5509,1078.1,技术部,员工19,公务卡,正常
PZ-00028,2026-05-15,邮电费采购,5507,319.16,市场部,员工09,现金,正常
PZ-00066,2026-02-13,邮电费采购,5504,31.38,行政部,员工14,现金,正常
PZ-00296,2026-04-19,维修费采购,5508,332.98,总经办,员工09,现金,正常
PZ-00385,2026-06-22,印刷费费用,5508,7000,财务部,员工09,银行转账,人造
PZ-00114,2026-03-25,会议费采购,5506,686.39,人事部,员工27,银行转账,正常
PZ-00204,2026-06-25,咨询费采购,5503,77.71,财务部,员工12,公务卡,正常
PZ-00144,2026-03-08,邮电费采购,5510,10.51,技术部,员工03,公务卡,正常
PZ-00262,2026-04-21,印刷费采购,5503,9162.49,财务部,员工24,现金,正常
PZ-00453,2026-04-23,会议费费用,5501,1000,市场部,员工30,现金,人造
PZ-00485,2026-06-14,劳务费费用,5507,98969.69,总经办,员工28,银行转账,人造
PZ-00252,2026-05-22,租赁费采购,5507,2287.79,采购部,员工27,现金,正常
PZ-00141,2026-05-14,印刷费采购,5501,98.33,总经办,员工07,现金,正常
PZ-00295,2026-01-09,租赁费采购,5510,174.12,采购部,员工10,银行转账,正常
PZ-00456,2026-05-16,劳务费费用,5501,8200.0,行政部,员工22,现金,人造
PZ-00162,2026-03-25,差旅费采购,5501,4311.63,市场部,员工06,公务卡,正常
PZ-00318,2026-06-15,会议费费用,5508,88000,人事部,员工27,银行转账,人造
PZ-00191,2026-03-25,会议费采购,5509,14616.8,采购部,员工06,银行转账,正常
PZ-00247,2026-02-14,租赁费采购,5510,241.29,销售部,员工28,公务卡,正常
PZ-00435,2026-04-11,会议费费用,5506,9000,人事部,员工02,银行转账,人造
PZ-00022,2026-04-22,咨询费采购,5508,171.29,销售部,员工04,银行转账,正常
PZ-00278,2026-04-22,租赁费采购,5507,49.78,采购部,员工27,银行转账,正常
PZ-00439,2026-03-27,印刷费费用,5509,1000,总经办,员工23,银行转账,人造
PZ-00392,2026-04-16,办公费费用,5505,6000,行政部,员工21,现金,人造
PZ-00004,2026-01-25,邮电费采购,5507,3809.42,总经办,员工09,银行转账,正常
PZ-00315,2026-04-11,劳务费费用,5507,1000,总经办,员工15,现金,人造
PZ-00253,2026-03-23,差旅费采购,5506,729.04,销售部,员工21,现金,正常
PZ-00340,2026-03-15,办公费费用,5506,900.0,财务部,员工28,银行转账,人造
PZ-00347,2026-05-01,劳务费费用,5503,1000,销售部,员工12,银行转账,人造
PZ-00041,2026-02-22,印刷费采购,5509,171.75,销售部,员工09,银行转账,正常
PZ-00062,2026-02-28,差旅费采购,5508,10502.18,市场部,员工26,现金,正常
PZ-00055,2026-03-18,邮电费采购,5504,3402.4,采购部,员工22,现金,正常
PZ-00399,2026-04-09,办公费费用,5508,886.75,销售部,员工02,银行转账,人造
PZ-00080,2026-03-21,培训费采购,5503,14.33,采购部,员工06,公务卡,正常
PZ-00183,2026-05-22,邮电费采购,5506,833.33,人事部,员工21,公务卡,正常
PZ-00317,2026-03-13,印刷费费用,5507,79677.63,总经办,员工04,银行转账,人造
PZ-00429,2026-04-20,印刷费费用,5502,517.05,总经办,员工27,现金,人造
PZ-00128,2026-04-19,咨询费采购,5510,71066.53,人事部,员工23,现金,正常
PZ-00428,2026-03-12,印刷费费用,5507,1000,行政部,员工04,银行转账,人造
PZ-00104,2026-06-27,印刷费采购,5510,39.99,财务部,员工25,银行转账,正常
PZ-00118,2026-01-05,租赁费采购,5510,149.53,总经办,员工28,银行转账,正常
PZ-00106,2026-04-11,咨询费采购,5502,14.7,市场部,员工11,现金,正常
PZ-00136,2026-01-15,咨询费采购,5505,22.64,采购部,员工27,公务卡,正常
PZ-00447,2026-05-10,办公费费用,5501,86742.43,行政部,员工01,现金,人造
PZ-00124,2026-02-06,邮电费采购,5502,15659.27,采购部,员工20,公务卡,正常
PZ-00377,2026-02-04,会议费费用,5504,5766.84,人事部,员工18,银行转账,人造
PZ-00121,2026-01-20,差旅费采购,5504,68723.82,人事部,员工08,公务卡,正常
PZ-00103,2026-06-11,印刷费采购,5501,28.89,行政部,员工08,公务卡,正常
PZ-00378,2026-02-06,会议费费用,5510,998.27,总经办,员工26,现金,人造
PZ-00256,2026-01-22,邮电费采购,5501,3717.35,市场部,员工14,公务卡,正常
PZ-00098,2026-02-01,会议费采购,5508,255.19,销售部,员工10,银行转账,正常
PZ-00466,2026-06-26,劳务费费用,5501,1000,销售部,员工21,银行转账,人造
PZ-00494,2026-05-23,会议费费用,5510,90300.0,市场部,员工22,银行转账,人造
PZ-00350,2026-02-24,办公费费用,5505,92054.46,财务部,员工26,银行转账,人造
PZ-00383,2026-03-05,会议费费用,5501,63783.84,采购部,员工28,银行转账,人造
PZ-00094,2026-05-21,办公用品采购,5503,34917.46,市场部,员工26,公务卡,正常
PZ-00138,2026-06-27,培训费采购,5505,564.76,采购部,员工04,银行转账,正常
PZ-00294,2026-03-07,咨询费采购,5506,27616.28,采购部,员工02,公务卡,正常
PZ-00458,2026-04-16,咨询费费用,5505,53749.58,技术部,员工11,银行转账,人造
PZ-00112,2026-01-21,邮电费采购,5508,14.61,人事部,员工17,公务卡,正常
PZ-00182,2026-01-18,会议费采购,5505,1065.91,人事部,员工24,公务卡,正常
PZ-00161,2026-05-07,会议费采购,5507,20.92,销售部,员工11,银行转账,正常
PZ-00244,2026-06-28,办公用品采购,5510,25837.02,销售部,员工09,公务卡,正常
PZ-00092,2026-02-21,培训费采购,5502,5697.41,财务部,员工19,现金,正常
PZ-00477,2026-02-17,办公费费用,5506,71000,总经办,员工16,现金,人造
PZ-00284,2026-03-02,租赁费采购,5510,141.35,市场部,员工21,公务卡,正常
PZ-00039,2026-06-10,租赁费采购,5501,48337.44,人事部,员工30,公务卡,正常
PZ-00176,2026-03-26,印刷费采购,5510,14422.08,财务部,员工12,公务卡,正常
PZ-00421,2026-04-01,会议费费用,5504,7200.0,市场部,员工07,银行转账,人造
PZ-00384,2026-05-04,办公费费用,5503,7000,总经办,员工24,银行转账,人造
PZ-00345,2026-05-22,办公费费用,5501,900.0,财务部,员工23,现金,人造
